image_id,username,image_url,created_at,prompt,negative_prompt
8818466,Koolchh,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/e99a1454-3b6c-4784-b525-0c14dc4a6795/original=true/e99a1454-3b6c-4784-b525-0c14dc4a6795.jpeg,2024-03-31T18:38:34.954Z,"1boy, male focus, holding drink, holding, drink, toned male, toned, pectorals, jacket, open jacket, open clothes, tank top, chain necklace, necklace, stud earrings, earrings, jewelry, cafe, plant, indoors, lens flare, solo, looking at viewer, open mouth, fang, white hair, yellow eyes, short hair, best quality, amazing quality, best aesthetic, absurdres, year 2023","lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts, 1girl, breasts"
9741937,Luke023,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/02f6d25e-072b-4bb2-8a06-dd1fd86a9881/original=true/02f6d25e-072b-4bb2-8a06-dd1fd86a9881.jpeg,2025-04-25T21:09:39.317Z,"(score_9, score_8_up), score_7_up, score_6_up, score_5_up, score_4_up, rating_explicit, male_focus, solo, glowing fiery mohawk, toned_male, bara, slim waist, thick_thighs, licking_finger, cowboy_shot, reflection, cyberpunk, dynamic perspective angle, fisheye, gradient_background, explicit, best quality, amazing quality, best aesthetic, absurdres, Pfillion, pigeon666, uleez, rei (sanbonzakura)",
100396404,PYBY_the_Fox,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/4cfe4d52-510b-4444-a62a-6d837e80348b/original=true/4cfe4d52-510b-4444-a62a-6d837e80348b.jpeg,2025-12-11T02:10:00.000Z,"score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up, pony 5g, photo, Sprig Plantar frog sits and fishes, big lizards, anthro realistic pony the dragon is small boy, standing, cute, adorable, very aesthetic, furry, Pony G5, outdoor village, they meet downtown, pizza, Miles 'Tails' Prower, klonoa, Winnie Werewolf, Pony, Sonic, Sega, fantastic free action, creativity, fantastic, mythical, magical, magic, dynamic, wonderful, peaceful, Anne Boonchuy, ots of fairy tale animals and characters, the little boy Spike and the adorable Smolder standing next to him. Add cute, aesthetically pleasing characters like Miles ‘Tails’ Prower, Klonoa, Winnie Werewolf, and other fabulous creatures from the Sonic, Sega, and Furry universes, Growing pitzza in a flower pot is the magic of divided sprouts, Магия снежного мира, ice magic,","score_6, score_5, score_4, ugly face, low res, blurry face, black and white, muscular female , frilled dress, pink dress, frills, bow, dress, not correct body geometry, half body, JPG (JPEG) compression, TIFF compression, dull colors, not clear edges of objects,"
10098215,Queria,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/0b854103-5eeb-4843-b780-ff0b9d7e2c39/original=true/0b854103-5eeb-4843-b780-ff0b9d7e2c39.jpeg,2024-04-17T14:15:44.159Z,"bakugou katsuki  male muscular muscular ass balls tight foreskin phimosis small penis flaccid presenting solo anus back best quality amazing quality great aesthetic nude looking back nsfw on glass  glistening body glistening skin barefoot anal fluid worm's-eye view crouching,  <lora:sdxl_lightning_8step_lora:1> <lora:Pony_QualityV4:1>","neg2, fat, worst quality, bad quality, bad aesthetic, feet, hands, foot"
8785484,Koolchh,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/76fb51fd-1436-4e65-919e-a52f97ea3cc6/original=true/76fb51fd-1436-4e65-919e-a52f97ea3cc6.jpeg,2024-03-31T18:38:34.954Z,"2boys, male focus, multiple boys, yaoi, couple, princess carry, carrying, shirt, pants, looking at another, smile, indoors, best quality, amazing quality, best aesthetic, absurdres","lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts"
8813182,Koolchh,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/02988008-24df-4d94-a236-7276c4b6b802/original=true/02988008-24df-4d94-a236-7276c4b6b802.jpeg,2024-03-31T18:38:34.954Z,"1boy, male focus, bishounen, holding sword, holding weapon, katana, sword, japanese clothes, haori, east asian architecture, solo, looking at viewer, expressionless, blue hair, purple eyes, long hair, best quality, amazing quality, best aesthetic, absurdres","lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts"
8702120,Koolchh,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/da80186b-1b45-46ce-9f7a-a0ff52de668a/original=true/da80186b-1b45-46ce-9f7a-a0ff52de668a.jpeg,2024-03-31T18:38:34.954Z,"1boy, male focus, undressing, shirt lift, clothes lift, lifted by self, toned male, toned, shirt, pants, locker room, locker, solo, looking at viewer, smirk, blush, black hair, brown eyes, short hair, best quality, amazing quality, best aesthetic, absurdres, year 2023","lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts"
13039660,RaidenFan86,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3650af0b-ea64-4f8f-9106-6d380ca2264d/original=true/3650af0b-ea64-4f8f-9106-6d380ca2264d.jpeg,2024-05-20T10:27:46.429Z,"2boys, male focus, multiple boys,
 itadori yuuji, jujutsu kaisen, 
((zPDXL)), score_9_up, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up, best quality, amazing quality, best aesthetic, absurdres, year2023, nsfw, game cg,  official art, official style, anime screencap,
 classroom, sitting, pov across table, black jacket, hoodie,  spoken question mark,  <lora:PhoneExposurePDXL:1.2>  big phone, screen, phone exposure, phone pov, oral, fellatio, penis,","((aidxlv05_neg,  zPDXL-neg)), 1girl, breasts, female, lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, censored, bad proportions, scan, scan artifacts,  twins, same person, ((simple background)), POV, artist name, copyright name,"
8966465,Koolchh,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/91653ee4-5d3a-4679-9594-61c01b1cfd10/original=true/91653ee4-5d3a-4679-9594-61c01b1cfd10.jpeg,2024-04-01T16:29:57.159Z,"2boys, male focus, multiple boys, yaoi, hug, hug from behind, hands on another's stomach, arm at sides, shirt, black hair, brown hair, brown eyes, blue eyes, short hair, sfw, best quality, amazing quality, best aesthetic, absurdres, year 2023","lowres, bad, text, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts"
18431568,ArtificalisAnima,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5be2e774-470d-446f-adef-4501c3a3b984/original=true/5be2e774-470d-446f-adef-4501c3a3b984.jpeg,2024-07-04T17:30:29.377Z,"score_9, score_8_up, score_7_up, best quality, amazing quality, best aesthetic, amazing aesthetic, 2023, nsfw, game cg, official art, solo, von lycaon, wolf anthro, headshot portrait, muscular, red eyes, buttons, eye patch, one eye covered, pants, armband, vest, shirt, fingerless gloves, <lora:VonLycaonZZZPonyXL:1>","text, lowres, bad, censored, error, missing, extra, fewer, cropped, jpeg artifacts, worst quality, bad quality, watermark, signature, patreon, logo, bad aesthetic, unfinished, chromatic aberration, scan, scan artifacts"
